
sh600000:Diff(12,26):-0.0524590626715327,DEA(9):0.00738199793858129
sh600004:Diff(12,26):0.0967842550003359,DEA(9):0.0873607128698973
sh600005:Diff(12,26):-0.0259435396511511,DEA(9):-0.00239440045780872
sh600006:Diff(12,26):0.00757752598104888,DEA(9):0.0641810396119863
sh600007:Diff(12,26):0.210450838969102,DEA(9):0.191515640762058
sh600008:Diff(12,26):-0.0391148472956777,DEA(9):0.00776443333668049
sh600009:Diff(12,26):0.0362557501295715,DEA(9):0.114763001784553
sh600010:Diff(12,26):0.459174369262961,DEA(9):0.266883496241804
sh600011:Diff(12,26):-0.0367887935708238,DEA(9):-0.0141278511424412
sh600012:Diff(12,26):0.0271577503627833,DEA(9):0.0480943464489635
sh600015:Diff(12,26):-0.186066748699721,DEA(9):-0.159170519335632
sh600016:Diff(12,26):-0.0443166224730591,DEA(9):-0.0149427763374655
sh600017:Diff(12,26):0.0118365622703815,DEA(9):0.0296081204042383
sh600018:Diff(12,26):0.00676881153014275,DEA(9):0.0321263641362358
sh600019:Diff(12,26):-0.0397913678495287,DEA(9):-0.00945894055823645
sh600020:Diff(12,26):-0.013428589478274,DEA(9):0.00461996372035885
sh600021:Diff(12,26):0.0290656927638731,DEA(9):0.0099543292407869
sh600022:Diff(12,26):-0.0559196613461883,DEA(9):-0.0401275561139218
sh600026:Diff(12,26):-0.0260925902613725,DEA(9):0.0196354563440456
sh600027:Diff(12,26):-0.0359897791140678,DEA(9):-0.0334699351413182
sh600028:Diff(12,26):-0.0314626017834252,DEA(9):-0.0257903624011166
sh600029:Diff(12,26):-0.0837402130871432,DEA(9):-0.0175321715103142
sh600030:Diff(12,26):0.151570392255284,DEA(9):0.312753602420381
sh600031:Diff(12,26):-0.110221831935359,DEA(9):0.0503357293810214
sh600033:Diff(12,26):-0.010701987868027,DEA(9):0.00639595296421562
sh600035:Diff(12,26):-0.000751231343512071,DEA(9):0.0205320826908383
sh600036:Diff(12,26):-0.172369660962442,DEA(9):-0.117708741338172
sh600037:Diff(12,26):0.0877924635591345,DEA(9):0.183053393298531
sh600038:Diff(12,26):0.125024240446827,DEA(9):0.0396240019888216
sh600039:Diff(12,26):0.535253738152516,DEA(9):0.533346337103707
sh600048:Diff(12,26):-0.0604112973038742,DEA(9):0.064625733511972
sh600050:Diff(12,26):-0.114005542119177,DEA(9):-0.109503952662439
sh600051:Diff(12,26):0.107547621489125,DEA(9):0.261045985619663
